epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5109,1.2511,1.23669,1.14621,0.96471,0.72232,0.87885,0.54764,1.34737,1.58237,1.20981,0.0672973,0.00033033,0.00033033
2,51.9555,1.19493,0.73506,1.09986,0.93568,0.82845,0.89684,0.54228,1.34909,0.83769,1.21322,0.0342951,0.000661474,0.000661474
3,76.2965,1.21421,0.70636,1.1069,0.86719,0.86378,0.86255,0.47283,1.50433,0.98963,1.34701,0.00129072,0.000990417,0.000990417
4,100.664,1.19589,0.68938,1.10619,0.9335,0.89613,0.9297,0.62541,1.18022,0.67435,1.12116,0.0009901,0.0009901,0.0009901
5,125.837,1.17575,0.63656,1.09858,0.9507,0.90205,0.93879,0.60542,1.1969,0.87685,1.12211,0.0009868,0.0009868,0.0009868
6,151.258,1.17087,0.61502,1.09142,0.96183,0.9184,0.94757,0.60787,1.20164,0.61772,1.12349,0.0009835,0.0009835,0.0009835
7,176.543,1.14166,0.5969,1.07753,0.96489,0.91526,0.94343,0.62499,1.20138,0.58382,1.12284,0.0009802,0.0009802,0.0009802
8,201.38,1.14536,0.59199,1.08666,0.9667,0.90524,0.95033,0.64196,1.17757,0.56892,1.10821,0.0009769,0.0009769,0.0009769
9,227.145,1.13172,0.57934,1.07386,0.96796,0.91982,0.95109,0.6363,1.17429,0.52394,1.10493,0.0009736,0.0009736,0.0009736
10,253.286,1.13099,0.5694,1.07761,0.97896,0.92164,0.96056,0.64684,1.16233,0.55187,1.10318,0.0009703,0.0009703,0.0009703
11,277.908,1.11552,0.55369,1.06353,0.96737,0.91838,0.95504,0.65693,1.15576,0.51254,1.08985,0.000967,0.000967,0.000967
12,302.332,1.11029,0.54171,1.06608,0.96262,0.90342,0.93991,0.6537,1.12327,0.53155,1.08051,0.0009637,0.0009637,0.0009637
13,327.764,1.09618,0.53965,1.06089,0.97676,0.91891,0.95674,0.66199,1.10855,0.5237,1.07595,0.0009604,0.0009604,0.0009604
14,352.748,1.09948,0.53487,1.05847,0.97278,0.92255,0.95864,0.66625,1.12542,0.504,1.08397,0.0009571,0.0009571,0.0009571
15,378.457,1.09764,0.53144,1.05995,0.96883,0.92437,0.95734,0.6435,1.17686,0.50682,1.10575,0.0009538,0.0009538,0.0009538
16,403.443,1.08647,0.52021,1.05518,0.98033,0.93082,0.96316,0.68326,1.09575,0.47367,1.06573,0.0009505,0.0009505,0.0009505
17,429.344,1.09431,0.52116,1.05382,0.98623,0.92255,0.96089,0.66786,1.11055,0.47782,1.06828,0.0009472,0.0009472,0.0009472
18,454.48,1.07576,0.51474,1.04669,0.9789,0.93012,0.96351,0.68087,1.11514,0.4596,1.06581,0.0009439,0.0009439,0.0009439
19,479.101,1.08673,0.51021,1.05007,0.96994,0.9262,0.96026,0.6589,1.12181,0.48399,1.07556,0.0009406,0.0009406,0.0009406
20,503.431,1.07678,0.50798,1.05319,0.97592,0.92338,0.96428,0.68151,1.10375,0.47315,1.07463,0.0009373,0.0009373,0.0009373
21,527.868,1.08136,0.50707,1.05428,0.98589,0.92802,0.96335,0.68176,1.09664,0.45565,1.06404,0.000934,0.000934,0.000934
22,552.124,1.07004,0.49432,1.04756,0.97976,0.92893,0.96283,0.67755,1.09857,0.46334,1.06845,0.0009307,0.0009307,0.0009307
23,576.309,1.0671,0.50105,1.04854,0.9871,0.92756,0.96603,0.68101,1.08484,0.4541,1.05838,0.0009274,0.0009274,0.0009274
24,600.611,1.05747,0.48993,1.04069,0.98553,0.93068,0.96688,0.68171,1.09594,0.44614,1.05574,0.0009241,0.0009241,0.0009241
25,624.809,1.06564,0.49429,1.04465,0.97315,0.92711,0.96471,0.68541,1.09279,0.46176,1.05859,0.0009208,0.0009208,0.0009208
26,649.096,1.05821,0.49203,1.04266,0.98111,0.93349,0.96844,0.69634,1.09422,0.45097,1.06132,0.0009175,0.0009175,0.0009175
27,673.427,1.06252,0.48798,1.03783,0.98044,0.93616,0.96979,0.6537,1.1724,0.46742,1.10377,0.0009142,0.0009142,0.0009142
28,697.569,1.04933,0.48339,1.03544,0.98464,0.92437,0.96526,0.69043,1.08788,0.43858,1.05178,0.0009109,0.0009109,0.0009109
29,721.995,1.06,0.48266,1.04092,0.9871,0.93576,0.9721,0.69044,1.08533,0.43077,1.04964,0.0009076,0.0009076,0.0009076
30,746.186,1.04991,0.48332,1.04003,0.98509,0.93299,0.9713,0.69331,1.09976,0.43979,1.06698,0.0009043,0.0009043,0.0009043
31,770.414,1.04164,0.47366,1.03645,0.98101,0.94162,0.97238,0.6936,1.06916,0.43028,1.04611,0.000901,0.000901,0.000901
